1	1	1	0	1	16
1	1	1	1	2	30
1	1	1	2	3	31
1	1	1	3	4	32
1	1	1	4	5	21
1	1	1	5	6	22
1	1	2	0	7	8
1	1	2	1	8	7
1	1	2	2	9	15
1	1	2	3	10	14
1	1	2	4	11	13
1	1	2	5	12	24
1	2	3	0	1	44
1	2	3	1	2	36
1	2	3	2	3	37
1	2	3	3	4	45
1	2	3	4	5	29
1	2	3	5	6	39
1	2	4	0	7	23
1	2	4	1	8	38
1	2	4	2	9	40
1	2	4	3	10	48
1	2	4	4	11	47
1	2	4	5	12	46
1	3	5	0	1	33
1	3	5	1	2	26
1	3	5	2	3	42
1	3	5	3	4	34
1	3	5	4	5	35
1	3	5	5	6	43
1	3	6	0	7	28
1	3	6	1	8	27
1	3	6	2	9	12
1	3	6	3	10	11
1	3	6	4	11	1
1	3	6	5	12	9
1	4	7	0	1	2
1	4	7	1	2	3
1	4	7	2	3	4
1	4	7	3	4	5
1	4	7	4	5	10
1	4	7	5	6	6
1	4	8	0	7	41
1	4	8	1	8	25
1	4	8	2	9	20
1	4	8	3	10	19
1	4	8	4	11	18
1	4	8	5	12	17
2	1	1	0	1	40
2	1	1	1	2	48
2	1	1	2	3	21
2	1	1	3	4	22
2	1	1	4	5	23
2	1	1	5	6	24
2	1	2	0	7	7
2	1	2	1	8	6
2	1	2	2	9	5
2	1	2	3	10	4
2	1	2	4	11	15
2	1	2	5	12	3
2	2	3	0	1	45
2	2	3	1	2	31
2	2	3	2	3	39
2	2	3	3	4	46
2	2	3	4	5	32
2	2	3	5	6	47
2	2	4	0	7	8
2	2	4	1	8	16
2	2	4	2	9	14
2	2	4	3	10	13
2	2	4	4	11	30
2	2	4	5	12	29
2	3	5	0	1	41
2	3	5	1	2	33
2	3	5	2	3	35
2	3	5	3	4	43
2	3	5	4	5	42
2	3	5	5	6	18
2	3	6	0	7	38
2	3	6	1	8	37
2	3	6	2	9	44
2	3	6	3	10	36
2	3	6	4	11	28
2	3	6	5	12	34
2	4	7	0	1	1
2	4	7	1	2	2
2	4	7	2	3	10
2	4	7	3	4	11
2	4	7	4	5	12
2	4	7	5	6	17
2	4	8	0	7	9
2	4	8	1	8	27
2	4	8	2	9	26
2	4	8	3	10	25
2	4	8	4	11	20
2	4	8	5	12	19
3	1	1	0	1	16
3	1	1	1	2	30
3	1	1	2	3	31
3	1	1	3	4	32
3	1	1	4	5	21
3	1	1	5	6	22
3	1	2	0	7	8
3	1	2	1	8	7
3	1	2	2	9	15
3	1	2	3	10	14
3	1	2	4	11	13
3	1	2	5	12	24
3	2	3	0	1	44
3	2	3	1	2	36
3	2	3	2	3	37
3	2	3	3	4	45
3	2	3	4	5	29
3	2	3	5	6	39
3	2	4	0	7	23
3	2	4	1	8	38
3	2	4	2	9	40
3	2	4	3	10	48
3	2	4	4	11	47
3	2	4	5	12	46
3	3	5	0	1	33
3	3	5	1	2	26
3	3	5	2	3	42
3	3	5	3	4	34
3	3	5	4	5	35
3	3	5	5	6	43
3	3	6	0	7	28
3	3	6	1	8	27
3	3	6	2	9	12
3	3	6	3	10	11
3	3	6	4	11	1
3	3	6	5	12	9
3	4	7	0	1	2
3	4	7	1	2	3
3	4	7	2	3	4
3	4	7	3	4	5
3	4	7	4	5	10
3	4	7	5	6	6
3	4	8	0	7	41
3	4	8	1	8	25
3	4	8	2	9	20
3	4	8	3	10	19
3	4	8	4	11	18
3	4	8	5	12	17
4	1	1	0	1	40
4	1	1	1	2	48
4	1	1	2	3	21
4	1	1	3	4	22
4	1	1	4	5	23
4	1	1	5	6	24
4	1	2	0	7	7
4	1	2	1	8	6
4	1	2	2	9	5
4	1	2	3	10	4
4	1	2	4	11	15
4	1	2	5	12	3
4	2	3	0	1	45
4	2	3	1	2	31
4	2	3	2	3	39
4	2	3	3	4	46
4	2	3	4	5	32
4	2	3	5	6	47
4	2	4	0	7	8
4	2	4	1	8	16
4	2	4	2	9	14
4	2	4	3	10	13
4	2	4	4	11	30
4	2	4	5	12	29
4	3	5	0	1	41
4	3	5	1	2	33
4	3	5	2	3	35
4	3	5	3	4	43
4	3	5	4	5	42
4	3	5	5	6	18
4	3	6	0	7	38
4	3	6	1	8	37
4	3	6	2	9	44
4	3	6	3	10	36
4	3	6	4	11	28
4	3	6	5	12	34
4	4	7	0	1	1
4	4	7	1	2	2
4	4	7	2	3	10
4	4	7	3	4	11
4	4	7	4	5	12
4	4	7	5	6	17
4	4	8	0	7	9
4	4	8	1	8	27
4	4	8	2	9	26
4	4	8	3	10	25
4	4	8	4	11	20
4	4	8	5	12	19
